path,hit_count,category_count,categories,likely_role,role_score
scripts/stage07_swing_joint_target_tracking_recommended_test.py,133,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,3
scripts/stage07_swing_joint_target_tracking_recommended_test_flrr.py,133,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,3
scripts/stage07_wbc_posture_regularized_support_test.py,132,7,baseline_torque_generation; candidate_scale_or_blending; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage07_contact_mode_sequence_ramp_test.py,131,8,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage15_10_compare_mujoco_torque_smoke_policies.py,131,9,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; pinocchio_kinematics_dynamics; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage15_5_model_readiness_audit.py,131,8,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; pinocchio_kinematics_dynamics; qp_osqp_solve_path; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage24_1_short_horizon_metric_design_preflight.py,131,8,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage07_swing_tracking_mode_sequence_test.py,129,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,3
scripts/stage10_python_frozen_baseline_ab_regression.py,129,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage14_4_base_velocity_tracking_mpc_demo.py,128,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; pinocchio_kinematics_dynamics; qp_osqp_solve_path; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,2
scripts/stage04_open_loop_trot_pd_demo.py,127,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,2
scripts/stage07_online_full_wbc_scheduler_stability_sweep.py,125,9,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,3
scripts/stage07_full_wbc_base_vertical_accel_task_qp.py,124,8,baseline_torque_generation; contact_gait_state; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; pinocchio_kinematics_dynamics; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage07_contact_schedule_wbc_scale_sweep.py,122,8,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage07_swing_joint_target_tracking_test.py,121,8,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,2
scripts/stage10_7_8_safety_utility_freeze_summary.py,121,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
