time,leg,phase,state,contact,swing_phase,foot_x,foot_y,foot_z,foothold_x,foothold_y,foothold_z
0.51,FR,0.020000000000000018,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.51,FL,0.52,swing,0,0.040000000000000036,0.18818876799999998,0.12675,0.028216000000000005,0.2071,0.12675,0.019
0.51,RR,0.52,swing,0,0.040000000000000036,-0.188011232,-0.12675,0.028216000000000005,-0.16909999999999997,-0.12675,0.019
0.51,RL,0.020000000000000018,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.52,FR,0.040000000000000036,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.52,FL,0.54,swing,0,0.08000000000000007,0.188445344,0.12675,0.036664000000000016,0.2071,0.12675,0.019
0.52,RR,0.54,swing,0,0.08000000000000007,-0.18775465599999996,-0.12675,0.036664000000000016,-0.16909999999999997,-0.12675,0.019
0.52,RL,0.040000000000000036,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.53,FR,0.06000000000000005,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.53,FL,0.56,swing,0,0.1200000000000001,0.18885513599999998,0.12675,0.044344000000000015,0.2071,0.12675,0.019
0.53,RR,0.56,swing,0,0.1200000000000001,-0.187344864,-0.12675,0.044344000000000015,-0.16909999999999997,-0.12675,0.019
0.53,RL,0.06000000000000005,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.54,FR,0.08000000000000007,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.54,FL,0.5800000000000001,swing,0,0.16000000000000014,0.189403552,0.12675,0.051256000000000024,0.2071,0.12675,0.019
0.54,RR,0.5800000000000001,swing,0,0.16000000000000014,-0.186796448,-0.12675,0.051256000000000024,-0.16909999999999997,-0.12675,0.019
0.54,RL,0.08000000000000007,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.55,FR,0.10000000000000009,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.55,FL,0.6000000000000001,swing,0,0.20000000000000018,0.190076,0.12675,0.05740000000000002,0.2071,0.12675,0.019
0.55,RR,0.6000000000000001,swing,0,0.20000000000000018,-0.18612399999999998,-0.12675,0.05740000000000002,-0.16909999999999997,-0.12675,0.019
0.55,RL,0.10000000000000009,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.56,FR,0.1200000000000001,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.56,FL,0.6200000000000001,swing,0,0.2400000000000002,0.19085788800000003,0.12675,0.06277600000000003,0.2071,0.12675,0.019
0.56,RR,0.6200000000000001,swing,0,0.2400000000000002,-0.185342112,-0.12675,0.06277600000000003,-0.16909999999999997,-0.12675,0.019
