step,source_step,contact_mode,qp_status,tracking_error_inf,tau_abs_max,max_friction_violation,max_swing_force_norm,FR_f_ref_x,FR_f_qp_x,FR_f_ref_y,FR_f_qp_y,FR_f_ref_z,FR_f_qp_z,FL_f_ref_x,FL_f_qp_x,FL_f_ref_y,FL_f_qp_y,FL_f_ref_z,FL_f_qp_z,RR_f_ref_x,RR_f_qp_x,RR_f_ref_y,RR_f_qp_y,RR_f_ref_z,RR_f_qp_z,RL_f_ref_x,RL_f_qp_x,RL_f_ref_y,RL_f_qp_y,RL_f_ref_z,RL_f_qp_z,FR_stance,FL_stance,RR_stance,RL_stance
45,45,FR_RL,solved,8.00376039933e-11,10.0166450979,0,2.22035191663e-38,-2.89896125961e-08,-2.89896125961e-08,0,0,60.0343257035,60.0343257035,5.14679918689e-20,-1.42764663365e-47,0,0,-8.00376039933e-11,2.22035191663e-38,5.14679918689e-20,-1.42764663365e-47,0,0,-8.00376039907e-11,2.22035188159e-38,-2.89899677701e-08,-2.89899677701e-08,0,0,60.0343257035,60.0343257035,True,False,False,True
46,46,FR_RL,solved,1.38880689013e-11,10.3014350687,0,3.64221739616e-39,-9.87527772713e-09,-9.87527772713e-09,0,0,61.7412019623,61.7412019623,3.53370841849e-23,-9.26778128703e-51,0,0,-1.38880689013e-11,3.64221739616e-39,3.53370841849e-23,-9.26778128703e-51,0,0,-1.38880688991e-11,3.64221739616e-39,-9.87525819922e-09,-9.87525819922e-09,0,0,61.7412019623,61.7412019623,True,False,False,True
47,47,FR_RL,solved,1.88231206406e-09,10.6721791829,0,4.60017693744e-37,-8.84154632071e-10,-8.84154632071e-10,0,0,63.9632406392,63.9632406392,-5.40121774983e-20,1.31986532493e-47,0,0,-1.88231206405e-09,4.60017693744e-37,-5.40121773726e-20,1.31986532493e-47,0,0,-1.88231206406e-09,4.60017693744e-37,-8.84158591675e-10,-8.84158591675e-10,0,0,63.9632406392,63.9632406392,True,False,False,True
48,48,FR_RL,solved,1.71611112424e-09,10.3925372986,0,4.42203137707e-37,8.82379630777e-10,8.82379630777e-10,0,0,62.2872191966,62.2872191966,-8.2127113197e-20,2.11658943762e-47,0,0,-1.71611112424e-09,4.42203137707e-37,-8.2128139402e-20,2.11628746284e-47,0,0,-1.71611112424e-09,4.42203137707e-37,8.82404286209e-10,8.82404286209e-10,0,0,62.2872191966,62.2872191966,True,False,False,True
49,49,FR_RL,solved,1.26532986089e-10,7.70550423902,0,5.93053906709e-38,5.2689428455e-10,5.2689428455e-10,0,0,46.1826037055,46.1826037055,1.86606044494e-19,-8.74568025981e-47,0,0,1.26532986089e-10,-5.93053906709e-38,1.83429269062e-19,-8.5958748647e-47,0,0,1.26532985452e-10,-5.92966444665e-38,5.2689450502e-10,5.2689450502e-10,0,0,46.1826037055,46.1826037055,True,False,False,True
50,50,FL_RR,solved,2.65130388491e-10,7.71001024482,0,1.24115633121e-37,-1.66141032795e-19,7.77717414647e-47,0,0,-2.65130388359e-10,1.24115633121e-37,3.07446963801e-11,3.07446963801e-11,0,0,46.2096102552,46.2096102552,3.05971465506e-11,3.05971465506e-11,0,0,46.2096102552,46.2096102552,-1.66141032796e-19,7.77717421172e-47,0,0,-2.65130388491e-10,1.24115633121e-37,False,True,True,False
51,51,FL_RR,solved,1.12358480497e-09,10.3575692089,0,2.91529504042e-37,-2.79277756327e-19,7.24570630315e-47,0,0,-1.12358480455e-09,2.91529504042e-37,1.01624921411e-11,1.01624921411e-11,0,0,62.077639476,62.077639476,1.01601631034e-11,1.01601631034e-11,0,0,62.077639476,62.077639476,-2.79277756327e-19,7.24570630315e-47,0,0,-1.12358480497e-09,2.91529504042e-37,False,True,True,False
52,52,FL_RR,solved,5.5484094277e-10,10.6633521066,0,1.35799290474e-37,2.84971356687e-19,-6.97566682247e-47,0,0,-5.5484094277e-10,1.35799290474e-37,-3.50310964894e-12,-3.50310964894e-12,0,0,63.9103359415,63.9103359415,-3.50028402682e-12,-3.50028402682e-12,0,0,63.9103359415,63.9103359415,2.84971356687e-19,-6.97566682247e-47,0,0,-5.5484094276e-10,1.35799290474e-37,False,True,True,False
53,53,FL_RR,solved,3.1546492151e-11,10.3102961419,0,8.25840369912e-39,4.08242099539e-20,-1.06886146244e-47,0,0,-3.15464921509e-11,8.25840361154e-39,-7.22292927499e-12,-7.22292927499e-12,0,0,61.7943104102,61.7943104102,-7.21464209546e-12,-7.21464209546e-12,0,0,61.7943104102,61.7943104102,4.08242099539e-20,-1.06886146244e-47,0,0,-3.1546492151e-11,8.25840369912e-39,False,True,True,False
54,54,FL_RR,solved,1.32212538783e-10,10.0220465823,0,3.66385938245e-38,8.95182325484e-20,-2.48060085568e-47,0,0,-1.32212538779e-10,3.66385938245e-38,-7.38596218961e-12,-7.38596218961e-12,0,0,60.0666992421,60.0666992421,-7.38170428957e-12,-7.38170428957e-12,0,0,60.0666992421,60.0666992421,8.95182325484e-20,-2.48060085568e-47,0,0,-1.32212538783e-10,3.66385938245e-38,False,True,True,False
55,55,FL_RR,solved,8.774215494e-11,10.0208100514,0,2.43189233567e-38,3.78959563633e-21,-1.0502134351e-48,0,0,-8.77421549389e-11,2.43189233567e-38,-6.65703621578e-12,-6.65703621578e-12,0,0,60.059288148,60.059288148,-6.68801881068e-12,-6.68801881068e-12,0,0,60.059288148,60.059288148,3.78959563633e-21,-1.0502134351e-48,0,0,-8.774215494e-11,2.43189233567e-38,False,True,True,False
56,56,FL_RR,solved,1.38935411013e-11,10.3057034689,0,3.64070968659e-39,1.71201446851e-19,-4.48619419546e-47,0,0,-1.38935410995e-11,3.64070968659e-39,-6.3896307341e-12,-6.3896307341e-12,0,0,61.7667844246,61.7667844246,-6.37385455961e-12,-6.37385455961e-12,0,0,61.7667844246,61.7667844246,1.71201446851e-19,-4.48619419546e-47,0,0,-1.38935411013e-11,3.64070968659e-39,False,True,True,False
